1회,2회,3회,4회,5회,6회,7회,8회,상영관,상영일자,좌석수
"11:30,  로마(디지털),  10,000원","20:25,  헌터 킬러(디지털),  10,000원",,,,,,,01관,2019-01-01,59
"00:05,  내여자의 정사-무삭제판(디지털),  1,000원","17:40,  로마(디지털),  10,000원",,,,,,,01관,2019-01-02,59
"00:05,  조선음란기방 옥미향 명기열전(디지털),  1,000원",,,,,,,,01관,2019-01-03,59
"00:05,  어린 형수 4(디지털),  2,000원","17:50,  로마(디지털),  10,000원",,,,,,,01관,2019-01-04,59
"00:05,  완벽한 그녀의 비밀(디지털),  2,000원","17:55,  로마(디지털),  10,000원",,,,,,,01관,2019-01-05,59
"00:05,  황비홍-천하지남북영웅(디지털),  1,000원",,,,,,,,01관,2019-01-06,59
"00:05,  지퍼스 크리퍼스 3(디지털),  2,000원","20:15,  헌터 킬러(디지털),  10,000원",,,,,,,01관,2019-01-07,59
"00:05,  조선음란기방 옥미향(디지털),  1,000원","20:30,  헌터 킬러(디지털),  10,000원",,,,,,,01관,2019-01-08,59
"11:20,  로마(디지털),  10,000원","17:55,  로마(디지털),  10,000원",,,,,,,01관,2019-01-09,59
"00:05,  디거즈:원혼의 부활(디지털),  1,000원","17:35,  로마(디지털)",,,,,,,01관,2019-01-10,59
"00:05,  후배부부와 교환섹스-무삭제(디지털),  2,000원","15:35,  로마(디지털),  10,000원","20:20,  로마(디지털)",,,,,,01관,2019-01-11,59
"11:30,  로마(디지털),  10,000원","17:55,  로마(디지털),  10,000원",,,,,,,01관,2019-01-12,59
"11:00,  헌터 킬러(디지털),  10,000원","15:45,  헌터 킬러(디지털),  10,000원","20:40,  헌터 킬러(디지털)",,,,,,01관,2019-01-13,59
"10:50,  로마(디지털),  10,000원","15:35,  로마(디지털),  10,000원","20:20,  로마(디지털)",,,,,,01관,2019-01-14,59
"00:05,  등산의 참맛(디지털),  2,000원","17:55,  로마(디지털)",,,,,,,01관,2019-01-15,59
"10:50,  로마(디지털),  10,000원","15:35,  로마(디지털),  10,000원","20:20,  로마(디지털)",,,,,,01관,2019-01-16,59
"00:05,  더 배드 넌(디지털),  1,000원",,,,,,,,01관,2019-01-17,59
"00:05,  여기어때 빈방있나요(디지털),  2,000원","18:25,  우행록: 어리석은 자의 기록(디지털),  10,000원",,,,,,,01관,2019-01-18,59
"11:30,  로마(디지털),  10,000원",,,,,,,,01관,2019-01-19,59
"11:00,  스파이더맨: 뉴 유니버스(디지털)",,,,,,,,01관,2019-01-20,59
"11:20,  스파이더맨: 뉴 유니버스(디지털)",,,,,,,,01관,2019-01-21,59
"00:05,  어린 처형- 무삭제판(디지털),  2,000원","16:00,  선종 무문관(디지털),  10,000원",,,,,,,01관,2019-01-22,59
"11:20,  스파이더맨: 뉴 유니버스(디지털)",,,,,,,,01관,2019-01-23,59
"00:05,  에로 킬러 에리카(디지털),  1,000원",,,,,,,,01관,2019-01-24,59
"00:05,  금지된 사랑 : 나는 친구의 아내를…(디지털),  2,000원",,,,,,,,01관,2019-01-25,59
"11:20,  로마(디지털),  10,000원",,,,,,,,01관,2019-01-26,59
"00:05,  아틀란틱 림 라이징(디지털),  1,000원",,,,,,,,01관,2019-01-27,59
"00:05,  빌리어네어 보이즈클럽(디지털),  1,000원",,,,,,,,01관,2019-01-28,59
"00:05,  젊은 미망인(디지털),  2,000원",,,,,,,,01관,2019-01-29,59
"00:05,  친구엄마 그리고 정사-무삭제판(디지털),  1,000원",,,,,,,,01관,2019-01-30,59
"00:05,  트로이 그레이트 워(디지털),  1,000원","04:35,  에로 킬러 마리아(디지털),  1,000원",,,,,,,01관,2019-01-31,59
"11:30,  스파이더맨: 뉴 유니버스(디지털)",,,,,,,,01관,2019-02-01,59
"00:05,  블러드 다이아몬드 파이널(디지털),  1,000원",,,,,,,,01관,2019-02-02,59
"01:20,  맛색녀의 성적유희(디지털),  1,000원",,,,,,,,01관,2019-02-03,59
"11:30,  인생 후르츠(디지털),  10,000원","20:35,  쿠르스크(디지털),  10,000원",,,,,,,01관,2019-02-04,59
"16:00,  선종 무문관(디지털)",,,,,,,,01관,2019-02-05,59
"11:30,  인생 후르츠(디지털),  10,000원","20:35,  쿠르스크(디지털)",,,,,,,01관,2019-02-06,59
"00:05,  섹스는 맛있다 무삭제판(디지털),  2,000원",,,,,,,,01관,2019-02-07,59
"11:50,  인생 후르츠(디지털),  10,000원",,,,,,,,01관,2019-02-08,59
"00:05,  그대 이름은 장미(디지털),  2,000원",,,,,,,,01관,2019-02-09,59
"00:05,  그대 이름은 장미(디지털),  2,000원",,,,,,,,01관,2019-02-10,59
"00:05,  그대 이름은 장미(디지털),  2,000원",,,,,,,,01관,2019-02-11,59
"00:05,  내방에 일본여자가 있다(디지털),  2,000원",,,,,,,,01관,2019-02-12,59
"00:05,  그대 이름은 장미(디지털),  2,000원",,,,,,,,01관,2019-02-13,59
"00:05,  어린 새엄마-감독판(디지털),  1,000원",,,,,,,,01관,2019-02-14,59
"00:05,  자매의은밀한스와핑-무삭제(디지털),  2,000원",,,,,,,,01관,2019-02-15,59
"11:40,  챔피언스(디지털)",,,,,,,,01관,2019-02-16,59
"11:40,  로마(디지털)",,,,,,,,01관,2019-02-17,59
"00:05,  외도에 빠진 아내(디지털),  2,000원",,,,,,,,01관,2019-02-18,59
"00:05,  친구에게 빼앗긴 남편(디지털),  2,000원",,,,,,,,01관,2019-02-19,59
"00:05,  중독: 관음증-무삭제판(디지털),  1,000원",,,,,,,,01관,2019-02-20,59
"00:05,  에이리언 어택 2019(디지털),  1,000원",,,,,,,,01관,2019-02-21,59
"00:05,  장모의유혹(디지털),  2,000원","22:15,  챔피언스(디지털),  10,000원",,,,,,,01관,2019-02-22,59
"11:40,  인생 후르츠(디지털),  10,000원","18:00,  인생 후르츠(디지털),  10,000원",,,,,,,01관,2019-02-23,59
"11:40,  인생 후르츠(디지털)","18:00,  인생 후르츠(디지털),  10,000원",,,,,,,01관,2019-02-24,59
"00:05,  우리 도련님(디지털),  2,000원",,,,,,,,01관,2019-02-25,59
"11:20,  챔피언스(디지털),  10,000원",,,,,,,,01관,2019-02-26,59
"00:05,  젊은 누나-무삭제판(디지털),  1,000원","15:40,  인생 후르츠(디지털),  10,000원",,,,,,,01관,2019-02-27,59
"00:05,  논스톱 투 헬(디지털),  1,000원","20:25,  콜드 체이싱(디지털),  10,000원",,,,,,,01관,2019-02-28,59
"00:05,  보어 살인 멧돼지(디지털),  2,000원","20:20,  콜드 체이싱(디지털),  10,000원",,,,,,,01관,2019-03-01,59
"11:10,  인생 후르츠(디지털),  10,000원","20:20,  콜드 체이싱(디지털),  10,000원",,,,,,,01관,2019-03-02,59
"11:10,  인생 후르츠(디지털),  10,000원","20:20,  콜드 체이싱(디지털),  10,000원",,,,,,,01관,2019-03-03,59
"00:05,  보어 살인 멧돼지(디지털),  2,000원","20:20,  콜드 체이싱(디지털),  10,000원",,,,,,,01관,2019-03-04,59
"11:35,  인생 후르츠(디지털),  10,000원","15:50,  인생 후르츠(디지털),  10,000원",,,,,,,01관,2019-03-05,59
"00:05,  폰섹스의 덫- 무삭제판(디지털),  1,000원","15:50,  인생 후르츠(디지털),  10,000원",,,,,,,01관,2019-03-06,59
"00:05,  감금의 정사(디지털),  1,000원",,,,,,,,01관,2019-03-07,59
"00:05,  가슴 큰 여자친구(디지털),  2,000원","15:50,  인생 후르츠(디지털),  10,000원",,,,,,,01관,2019-03-08,59
"13:20,  로마(디지털),  10,000원","15:55,  인생 후르츠(디지털),  10,000원",,,,,,,01관,2019-03-09,59
"00:05,  파라노말 기생충(디지털),  1,000원","15:45,  인생 후르츠(디지털),  10,000원",,,,,,,01관,2019-03-10,59
"00:05,  월드 워 핵전쟁의 서막(디지털),  2,000원",,,,,,,,01관,2019-03-11,59
"00:05,  월드 워 핵전쟁의 서막(디지털),  2,000원",,,,,,,,01관,2019-03-12,59
"16:00,  인생 후르츠(디지털),  10,000원",,,,,,,,01관,2019-03-13,59
"00:05,  엄마 애인 2(디지털),  2,000원",,,,,,,,01관,2019-03-14,59
"00:05,  옆집 아가씨(디지털),  2,000원","16:00,  인생 후르츠(디지털),  10,000원",,,,,,,01관,2019-03-15,59
"00:05,  은밀한 쇼-꽃의 장(디지털),  2,000원","15:45,  인생 후르츠(디지털),  10,000원",,,,,,,01관,2019-03-16,59
"00:05,  터미네이터 솔저(디지털),  1,000원","15:30,  인생 후르츠(디지털),  10,000원",,,,,,,01관,2019-03-17,59
"00:00,  월드 워 핵전쟁의 서막(디지털),  2,000원","15:50,  인생 후르츠(디지털)",,,,,,,01관,2019-03-18,59
"00:05,  맛섹 은밀한 경험 - 무삭제판(디지털),  1,000원",,,,,,,,01관,2019-03-19,59
"11:40,  인생 후르츠(디지털)","15:55,  인생 후르츠(디지털),  10,000원",,,,,,,01관,2019-03-20,59
"00:05,  딸의 친구 3 (디지털),  2,000원","16:55,  인생 후르츠(디지털),  10,000원",,,,,,,01관,2019-03-21,59
"11:40,  인생 후르츠(디지털)","15:55,  인생 후르츠(디지털),  10,000원",,,,,,,01관,2019-03-22,59
"00:05,  캐시디 레드(디지털),  2,000원","18:30,  인생 후르츠(디지털),  10,000원",,,,,,,01관,2019-03-23,59
"00:05,  그레이브 하우스(디지털),  1,000원","17:55,  인생 후르츠(디지털)",,,,,,,01관,2019-03-24,59
"00:05,  상류시대 무삭제판(디지털),  2,000원",,,,,,,,01관,2019-03-25,59
"00:05,  나의 노예가 되어주세요 2(디지털),  2,000원","15:45,  인생 후르츠(디지털),  10,000원",,,,,,,01관,2019-03-26,59
"00:05,  내 완벽한 남사친의 비밀(디지털),  2,000원","15:55,  인생 후르츠(디지털),  10,000원",,,,,,,01관,2019-03-27,59
"00:05,  어린 엄마 2(디지털),  2,000원","15:15,  인생 후르츠(디지털),  10,000원",,,,,,,01관,2019-03-28,59
"00:05,  동생의 여자-무삭제(디지털),  2,000원","15:55,  인생 후르츠(디지털)",,,,,,,01관,2019-03-29,59
"00:05,  내 완벽한 남사친의 비밀(디지털),  2,000원","15:40,  인생 후르츠(디지털),  10,000원",,,,,,,01관,2019-03-30,59
"00:05,  내 완벽한 남사친의 비밀(디지털),  2,000원","15:55,  인생 후르츠(디지털),  10,000원",,,,,,,01관,2019-03-31,59
"00:05,  수상한 아가씨(디지털),  2,000원","13:15,  인생 후르츠(디지털)","15:00,  인생 후르츠(디지털),  10,000원","20:15,  인생 후르츠(디지털)",,,,,01관,2019-04-01,59
"12:00,  인생 후르츠(디지털)","13:45,  인생 후르츠(디지털),  10,000원","15:30,  인생 후르츠(디지털)",,,,,,01관,2019-04-02,59
"13:00,  아픈 만큼 사랑한다(디지털)","16:25,  아픈 만큼 사랑한다(디지털),  10,000원","20:20,  아픈 만큼 사랑한다(디지털),  10,000원",,,,,,01관,2019-04-03,59
"00:05,  내 이웃과의 섹스라이프(디지털),  1,000원","15:30,  아픈 만큼 사랑한다(디지털),  10,000원","19:25,  아픈 만큼 사랑한다(디지털),  10,000원",,,,,,01관,2019-04-04,59
"00:05,  여배우: 섹스수업(디지털),  2,000원","17:55,  아픈 만큼 사랑한다(디지털)",,,,,,,01관,2019-04-05,59
"13:00,  아픈 만큼 사랑한다(디지털),  10,000원","16:25,  아픈 만큼 사랑한다(디지털),  10,000원","20:20,  아픈 만큼 사랑한다(디지털),  10,000원",,,,,,01관,2019-04-06,59
"13:00,  아픈 만큼 사랑한다(디지털)","16:25,  아픈 만큼 사랑한다(디지털)","20:20,  아픈 만큼 사랑한다(디지털),  10,000원",,,,,,01관,2019-04-07,59
"13:00,  아픈 만큼 사랑한다(디지털)","16:25,  아픈 만큼 사랑한다(디지털)","20:20,  아픈 만큼 사랑한다(디지털),  9,000원",,,,,,01관,2019-04-08,59
"13:00,  아픈 만큼 사랑한다(디지털)","17:35,  아픈 만큼 사랑한다(디지털)","19:20,  아픈 만큼 사랑한다(디지털)","21:05,  아픈 만큼 사랑한다(디지털),  10,000원",,,,,01관,2019-04-09,59
"12:10,  아픈 만큼 사랑한다(디지털)","15:35,  아픈 만큼 사랑한다(디지털),  10,000원",,,,,,,01관,2019-04-10,59
"00:05,  빙봉협: 시공행자(디지털),  1,000원","17:45,  아픈 만큼 사랑한다(디지털)",,,,,,,01관,2019-04-11,59
"12:20,  로망(디지털)","20:15,  아픈 만큼 사랑한다(디지털),  10,000원",,,,,,,01관,2019-04-12,59
"12:30,  로망(디지털),  10,000원","20:30,  아픈 만큼 사랑한다(디지털),  10,000원",,,,,,,01관,2019-04-13,59
"12:30,  아픈 만큼 사랑한다(디지털)","14:15,  아픈 만큼 사랑한다(디지털),  10,000원","20:05,  아픈 만큼 사랑한다(디지털),  10,000원",,,,,,01관,2019-04-14,59
"13:00,  파도치는 땅(디지털)","18:35,  아픈 만큼 사랑한다(디지털),  10,000원","20:20,  아픈 만큼 사랑한다(디지털),  10,000원",,,,,,01관,2019-04-15,59
"00:05,  이웃집 형수-무삭제(디지털),  1,000원","20:15,  아픈 만큼 사랑한다(디지털),  10,000원",,,,,,,01관,2019-04-16,59
"00:05,  너 말고 니 언니(디지털),  2,000원","18:35,  아픈 만큼 사랑한다(디지털),  10,000원","20:20,  아픈 만큼 사랑한다(디지털),  10,000원",,,,,,01관,2019-04-17,59
"00:05,  상류클럽(디지털),  1,000원",,,,,,,,01관,2019-04-18,59
"00:05,  엄마학개론(디지털),  2,000원","20:40,  아픈 만큼 사랑한다(디지털),  10,000원",,,,,,,01관,2019-04-19,59
"13:00,  아픈 만큼 사랑한다(디지털)","14:45,  아픈 만큼 사랑한다(디지털),  10,000원","16:30,  아픈 만큼 사랑한다(디지털),  10,000원","18:15,  아픈 만큼 사랑한다(디지털)","20:00,  아픈 만큼 사랑한다(디지털)",,,,01관,2019-04-20,59
"13:00,  아픈 만큼 사랑한다(디지털),  10,000원","14:45,  아픈 만큼 사랑한다(디지털),  10,000원","16:30,  아픈 만큼 사랑한다(디지털),  10,000원","18:15,  아픈 만큼 사랑한다(디지털),  10,000원","20:00,  아픈 만큼 사랑한다(디지털),  10,000원",,,,01관,2019-04-21,59
"12:20,  아픈 만큼 사랑한다(디지털)","16:15,  아픈 만큼 사랑한다(디지털)","20:10,  아픈 만큼 사랑한다(디지털),  9,000원",,,,,,01관,2019-04-22,59
"11:00,  아픈 만큼 사랑한다(디지털),  10,000원","14:55,  아픈 만큼 사랑한다(디지털),  10,000원","18:50,  아픈 만큼 사랑한다(디지털)","20:35,  아픈 만큼 사랑한다(디지털),  10,000원",,,,,01관,2019-04-23,59
"00:05,  유정 - 스며들다(디지털),  2,000원",,"20:10,  아픈 만큼 사랑한다(디지털),  10,000원",,,,,,01관,2019-04-24,59
"00:05,  유정 - 스며들다(디지털),  2,000원","18:15,  어벤져스: 엔드게임(디지털),  10,000원",,,,,,,01관,2019-04-25,59
"00:05,  유정 - 스며들다(디지털),  2,000원","19:20,  어벤져스: 엔드게임(디지털),  10,000원",,,,,,,01관,2019-04-26,59
"10:25,  아픈 만큼 사랑한다(디지털),  10,000원","17:45,  아픈 만큼 사랑한다(디지털),  10,000원",,,,,,,01관,2019-04-27,59
"10:25,  아픈 만큼 사랑한다(디지털)","17:45,  아픈 만큼 사랑한다(디지털),  10,000원",,,,,,,01관,2019-04-28,59
"12:00,  어벤져스: 엔드게임(디지털)","19:20,  어벤져스: 엔드게임(디지털),  10,000원",,,,,,,01관,2019-04-29,59
"10:25,  어벤져스: 엔드게임(디지털)","17:45,  어벤져스: 엔드게임(디지털)",,,,,,,01관,2019-04-30,59
"10:25,  어벤져스: 엔드게임(디지털),  10,000원","17:45,  어벤져스: 엔드게임(디지털)",,,,,,,01관,2019-05-01,59
"00:05,  어린 누나 3(디지털),  2,000원","17:45,  어벤져스: 엔드게임(디지털)",,,,,,,01관,2019-05-02,59
"00:05,  착한 사촌 여동생(디지털),  2,000원","17:45,  아픈 만큼 사랑한다(디지털)",,,,,,,01관,2019-05-03,59
"10:25,  어벤져스: 엔드게임(디지털)","17:45,  아픈 만큼 사랑한다(디지털)",,,,,,,01관,2019-05-04,59
"10:25,  어벤져스: 엔드게임(디지털)","17:45,  아픈 만큼 사랑한다(디지털),  10,000원",,,,,,,01관,2019-05-05,59
"10:25,  어벤져스: 엔드게임(디지털),  9,000원","17:45,  아픈 만큼 사랑한다(디지털)",,,,,,,01관,2019-05-06,59
"00:05,  여대생들의은밀한아르바이트(디지털),  2,000원","17:40,  어벤져스: 엔드게임(디지털)",,,,,,,01관,2019-05-07,59
"00:05,  남편친구들(디지털),  2,000원","17:40,  어벤져스: 엔드게임(디지털)",,,,,,,01관,2019-05-08,59
"00:05,  어린 처제 3(디지털),  2,000원","17:45,  아픈 만큼 사랑한다(디지털)",,,,,,,01관,2019-05-09,59
"12:35,  더 캡틴(디지털)",,,,,,,,01관,2019-05-10,59
"10:25,  어벤져스: 엔드게임(디지털)","17:45,  아픈 만큼 사랑한다(디지털)",,,,,,,01관,2019-05-11,59
"10:00,  어벤져스: 엔드게임(디지털)","15:00,  아픈 만큼 사랑한다(디지털),  6,000원",,,,,,,01관,2019-05-12,59
"10:25,  어벤져스: 엔드게임(디지털)","17:40,  아픈 만큼 사랑한다(디지털)",,,,,,,01관,2019-05-13,59
"00:05,  엄마 애인 2 - 무삭제판(디지털),  2,000원","16:45,  어벤져스: 엔드게임(디지털)",,,,,,,01관,2019-05-14,59
"00:05,  어린고모(디지털),  2,000원","17:40,  아픈 만큼 사랑한다(디지털)","19:25,  아픈 만큼 사랑한다(디지털),  10,000원",,,,,,01관,2019-05-15,59
"00:05,  화끈한 룸메이트(디지털),  2,000원","16:30,  아픈 만큼 사랑한다(디지털),  10,000원","18:15,  아픈 만큼 사랑한다(디지털),  10,000원","20:00,  아픈 만큼 사랑한다(디지털)",,,,,01관,2019-05-16,59
"00:05,  보도드라이버: 떡마차(디지털),  2,000원","14:15,  아픈 만큼 사랑한다(디지털)","16:00,  아픈 만큼 사랑한다(디지털)","17:45,  아픈 만큼 사랑한다(디지털)","19:30,  아픈 만큼 사랑한다(디지털),  10,000원",,,,01관,2019-05-17,59
"10:20,  장난스런 키스(디지털),  2,000원","14:15,  아픈 만큼 사랑한다(디지털)","16:00,  아픈 만큼 사랑한다(디지털)","17:45,  아픈 만큼 사랑한다(디지털)","19:30,  아픈 만큼 사랑한다(디지털)",,,,01관,2019-05-18,59
"09:30,  장난스런 키스(디지털),  2,000원","14:15,  아픈 만큼 사랑한다(디지털)","16:00,  아픈 만큼 사랑한다(디지털)","17:45,  아픈 만큼 사랑한다(디지털)","19:30,  아픈 만큼 사랑한다(디지털)",,,,01관,2019-05-19,59
"12:30,  아픈 만큼 사랑한다(디지털),  5,000원","16:30,  아픈 만큼 사랑한다(디지털)","18:15,  아픈 만큼 사랑한다(디지털),  10,000원","20:00,  아픈 만큼 사랑한다(디지털)",,,,,01관,2019-05-20,59
"00:05,  어린 엄마 2 - 무삭제판(디지털),  2,000원","16:30,  아픈 만큼 사랑한다(디지털)","18:15,  아픈 만큼 사랑한다(디지털)","20:00,  아픈 만큼 사랑한다(디지털)",,,,,01관,2019-05-21,59
"12:30,  아픈 만큼 사랑한다(디지털)","14:15,  아픈 만큼 사랑한다(디지털)","16:00,  아픈 만큼 사랑한다(디지털)","17:45,  아픈 만큼 사랑한다(디지털)","19:30,  아픈 만큼 사랑한다(디지털),  10,000원",,,,01관,2019-05-22,59
"00:05,  음란 과외 2(디지털),  2,000원","16:30,  아픈 만큼 사랑한다(디지털)","18:15,  아픈 만큼 사랑한다(디지털)","20:00,  아픈 만큼 사랑한다(디지털),  10,000원",,,,,01관,2019-05-23,59
"00:05,  잘주는 여비서들(디지털),  2,000원","14:15,  아픈 만큼 사랑한다(디지털)","16:00,  아픈 만큼 사랑한다(디지털),  5,000원","17:45,  아픈 만큼 사랑한다(디지털)","19:30,  아픈 만큼 사랑한다(디지털),  10,000원",,,,01관,2019-05-24,59
"12:40,  아픈 만큼 사랑한다(디지털)","14:25,  아픈 만큼 사랑한다(디지털)","16:10,  아픈 만큼 사랑한다(디지털),  10,000원","19:50,  아픈 만큼 사랑한다(디지털)",,,,,01관,2019-05-25,59
"12:30,  아픈 만큼 사랑한다(디지털),  10,000원","14:15,  아픈 만큼 사랑한다(디지털)","16:00,  아픈 만큼 사랑한다(디지털),  10,000원","17:45,  아픈 만큼 사랑한다(디지털),  10,000원","19:30,  아픈 만큼 사랑한다(디지털)",,,,01관,2019-05-26,59
"12:00,  아픈 만큼 사랑한다(디지털)",,,,,,,,01관,2019-05-27,59
"12:30,  울지마, 톤즈(디지털)","17:45,  아픈 만큼 사랑한다(디지털),  10,000원",,,,,,,01관,2019-05-28,59
"12:30,  울지마, 톤즈(디지털)","17:45,  아픈 만큼 사랑한다(디지털),  10,000원",,,,,,,01관,2019-05-29,59
"00:05,  금의위: 용태자의 난(디지털),  1,000원","18:10,  교회오빠(디지털),  10,000원",,,,,,,01관,2019-05-30,59
"00:05,  접대 전문 여비서(디지털),  2,000원","18:10,  교회오빠(디지털),  10,000원",,,,,,,01관,2019-05-31,59
"11:45,  기생충(디지털),  10,000원","19:25,  기생충(디지털),  10,000원",,,,,,,01관,2019-06-01,59
"12:15,  기생충(디지털),  10,000원","18:10,  교회오빠(디지털),  10,000원",,,,,,,01관,2019-06-02,59
"11:40,  아이아이 가사: 다시 만난 그날(디지털),  10,000원","19:50,  기생충(디지털)",,,,,,,01관,2019-06-03,59
"12:00,  아픈 만큼 사랑한다(디지털)","15:25,  아픈 만큼 사랑한다(디지털),  10,000원",,,,,,,01관,2019-06-04,59
"00:05,  무협: 강호수사대(디지털),  2,000원","19:50,  기생충(디지털),  10,000원",,,,,,,01관,2019-06-05,59
"00:05,  막내 형수(디지털),  2,000원","16:10,  교회오빠(디지털),  10,000원",,,,,,,01관,2019-06-06,59
"00:05,  일일시호일(디지털),  1,000원","16:10,  교회오빠(디지털),  10,000원",,,,,,,01관,2019-06-07,59
"11:15,  라플라스의 마녀(디지털),  6,000원","17:15,  교회오빠(디지털),  10,000원",,,,,,,01관,2019-06-08,59
"11:15,  라플라스의 마녀(디지털),  6,000원","17:35,  교회오빠(디지털),  10,000원",,,,,,,01관,2019-06-09,59
"12:00,  교회오빠(디지털),  10,000원","16:10,  교회오빠(디지털),  10,000원",,,,,,,01관,2019-06-10,59
"00:05,  딸의 친구 3 - 무삭제판(디지털),  2,000원","15:55,  아픈 만큼 사랑한다(디지털),  10,000원","19:30,  교회오빠(디지털),  10,000원",,,,,,01관,2019-06-11,59
"12:30,  교회오빠(디지털),  10,000원","16:05,  교회오빠(디지털)","19:40,  교회오빠(디지털),  10,000원",,,,,,01관,2019-06-12,59
"12:40,  교회오빠(디지털),  10,000원","16:10,  교회오빠(디지털),  10,000원",,,,,,,01관,2019-06-13,59
"00:05,  보도드라이버: 풀코스(디지털),  2,000원","16:05,  교회오빠(디지털),  10,000원","19:40,  교회오빠(디지털),  10,000원",,,,,,01관,2019-06-14,59
"12:30,  아픈 만큼 사랑한다(디지털),  10,000원","16:05,  아픈 만큼 사랑한다(디지털),  10,000원","19:45,  교회오빠(디지털),  10,000원",,,,,,01관,2019-06-15,59
"12:30,  아픈 만큼 사랑한다(디지털),  6,000원","16:25,  교회오빠(디지털),  10,000원","20:00,  교회오빠(디지털),  10,000원",,,,,,01관,2019-06-16,59
"12:30,  교회오빠(디지털),  10,000원","16:05,  교회오빠(디지털)","19:40,  교회오빠(디지털),  10,000원",,,,,,01관,2019-06-17,59
"00:05,  독고다이(디지털),  1,000원","14:15,  아픈 만큼 사랑한다(디지털),  10,000원",,,,,,,01관,2019-06-18,59
