배우,안성기,기주봉,오정세,최종원,박근형,오달수,유해진,이순재,권해효,조진웅,문소리,김해숙,라미란,이상희,김혜수,정유미,윤여정,한예리,김꽃비
1957,,,,,,,,,,,,,,,,,,,
1958,,,,,,,,,,,,,,,,,,,
1959,,,,,,,,,,,,,,,,,,,
1960,,,,,,,,,,,,,,,,,,,
1961,1,,,,,,,,,,,,,,,,,,
1962,0,,,,,,,,,,,,,,,,,,
1963,0,,,,,,,,,,,,,,,,,,
1964,0,,,,,,,,,,,,,,,,,,
1965,0,,,,,,,,,,,,,,,,,,
1966,0,,,,,,,1,,,,,,,,,,,
1967,0,,,,,,,2,,,,,,,,,,,
1968,0,,,,,,,2,,,,,,,,,,,
1969,0,,,,,,,1,,,,,,,,,,,
1970,0,,,,,,,0,,,,,,,,,,,
1971,0,,,,,,,3,,,,,,,,,1,,
1972,0,,,,,,,1,,,,,,,,,1,,
1973,0,,,,,,,0,,,,,,,,,1,,
1974,0,,,,1,,,4,,,,,,,,,0,,
1975,0,,,,9,,,5,,,,,,,,,0,,
1976,0,,,,3,,,3,,,,,,,,,0,,
1977,1,,,,6,,,5,,,,,,,,,0,,
1978,1,,,,9,,,2,,,,,,,,,1,,
1979,2,,,2,7,,,6,,,,,,,,,0,,
1980,0,,,0,2,,,4,,,,,,,,,0,,
1981,4,2,,1,1,,,1,,,,2,,,,,0,,
1982,6,0,,1,2,,,0,,,,3,,,,,0,,
1983,2,2,,1,1,,,0,,,,1,,,,,0,,
1984,4,0,,2,0,,,2,,,,2,,,,,0,,
1985,2,0,,2,1,,,0,,,,2,,,,,1,,
1986,6,0,,0,1,,,1,,,,1,,,2,,0,,
1987,3,0,,0,2,,,1,,,,1,,,0,,0,,
1988,3,1,,0,0,,,0,,,,0,,,2,,0,,
1989,0,0,,3,0,,,0,,,,0,,,0,,0,,
1990,2,0,,5,1,,,0,,,,0,,,1,,1,,
1991,4,0,,3,2,,,0,,,,0,,,1,,0,,
1992,2,0,,3,2,,,0,1,,,1,,,0,,0,,
1993,2,0,,3,0,,,0,0,,,0,,,1,,0,,
1994,1,0,,4,0,,,0,3,,,0,,,1,,0,,
1995,5,1,,6,1,,,0,0,,,0,,,3,,1,,
1996,3,0,,6,0,,,0,2,,,0,,,0,,0,,
1997,0,1,,5,1,,1,0,1,,,0,,,1,,0,,
1998,5,1,,1,0,,0,0,1,,,0,,,3,,0,,
1999,1,3,,0,0,,1,0,1,,,0,,,0,,0,,
2000,3,6,,1,0,,0,0,1,,2,0,,,0,,0,,
2001,3,5,1,2,0,,2,0,2,,2,0,,,1,,0,,
2002,3,10,0,0,1,1,4,0,2,,1,1,,,2,1,0,,1
2003,1,5,3,0,0,4,2,0,0,,2,2,,,0,0,1,,0
2004,1,6,2,0,0,3,3,0,0,2,2,2,,,1,1,1,,0
2005,1,1,4,2,0,4,5,0,0,0,3,2,1,,1,2,0,,4
2006,3,4,6,2,0,6,4,1,0,4,2,1,3,,1,2,1,,4
2007,2,2,8,0,0,2,3,0,0,0,0,2,0,,3,1,2,1,0
2008,2,3,5,2,0,2,2,0,0,6,2,1,4,,1,1,1,1,1
2009,1,4,3,0,0,3,1,2,1,1,2,1,4,,0,6,2,1,1
2010,1,2,5,1,0,3,4,1,3,2,2,1,5,,1,4,1,6,5
2011,3,2,4,1,0,4,2,1,1,3,1,2,1,1,0,2,3,4,3
2012,4,4,3,0,1,5,3,0,3,2,1,2,6,2,1,2,1,2,3
2013,0,7,6,0,1,3,1,0,6,3,2,2,4,1,1,2,1,4,2
2014,1,4,4,0,0,3,3,0,3,4,6,3,3,3,0,2,1,2,2
2015,5,6,2,1,1,4,4,0,1,3,13,2,4,7,1,1,3,3,1
2016,1,1,1,1,2,4,1,0,5,4,2,3,2,13,1,1,3,3,0
2017,2,2,1,0,1,2,3,1,0,4,3,2,0,2,1,2,0,1,1
2018,0,5,2,0,0,1,2,1,6,3,2,1,4,6,1,1,1,2,1
2019,2,3,3,0,1,0,2,1,5,4,3,0,0,4,0,1,0,0,1
2020,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
합계,99,93,63,61,60,54,54,52,48,46,53,43,42,39,32,32,29,30,30
원래 데이터 값,100,93,62,61,61,54,54,53,48,46,51,43,43,38,33,32,31,30,31
차이,1,0,-1,0,1,0,0,1,0,0,-2,,1,-1,1,0,2,0,1