감독,년도,작품,감독성별
류승완,1996,1,남자
류승완,1997,1,남자
류승완,1998,1,남자
류승완,1999,1,남자
류승완,2000,1,남자
류승완,2001,0,남자
류승완,2002,1,남자
류승완,2003,0,남자
류승완,2004,1,남자
류승완,2005,3,남자
류승완,2006,1,남자
류승완,2007,0,남자
류승완,2008,1,남자
류승완,2009,1,남자
류승완,2010,1,남자
류승완,2011,0,남자
류승완,2012,1,남자
류승완,2013,0,남자
류승완,2014,2,남자
류승완,2015,1,남자
류승완,2016,0,남자
류승완,2017,1,남자
류승완,2018,0,남자
류승완,2019,0,남자
이경미,2003,1,여자
이경미,2004,1,여자
이경미,2005,0,여자
이경미,2006,0,여자
이경미,2007,0,여자
이경미,2008,1,여자
이경미,2009,0,여자
이경미,2010,0,여자
이경미,2011,0,여자
이경미,2012,0,여자
이경미,2013,0,여자
이경미,2014,0,여자
이경미,2015,1,여자
이경미,2016,0,여자
이경미,2017,1,여자
이경미,2018,1,여자
이경미,2019,0,여자