영화명,개봉n주차,주차관객수
거짓말,1,180
거짓말,2,3958
거짓말,3,724
거짓말,4,131
거짓말,5,46
검은 사제들,1,7584
검은 사제들,2,2175495
검은 사제들,3,1694234
검은 사제들,4,743537
검은 사제들,5,369953
검은 사제들,6,244096
검은 사제들,7,197283
검은 사제들,8,7812
검은 사제들,9,2059
검은 사제들,67,656
"나의 아들, 나의 어머니",0,295
"나의 아들, 나의 어머니",1,893
"나의 아들, 나의 어머니",2,1311
"나의 아들, 나의 어머니",3,841
"나의 아들, 나의 어머니",4,523
"나의 아들, 나의 어머니",5,233
"나의 아들, 나의 어머니",6,45
들꽃,0,0
들꽃,1,501
들꽃,2,308
들꽃,3,99
들꽃,4,35
내부자들,-2,0
내부자들,-1,3537
내부자들,0,5856
내부자들,1,104391
내부자들,2,2149890
내부자들,3,1755778
내부자들,4,1233268
내부자들,5,939405
내부자들,6,392140
내부자들,7,464089
내부자들,8,20860
내부자들,9,847
내부자들,10,821
내부자들,11,586
내부자들,26,553
내부자들,205,540
세상끝의 사랑,1,770
세상끝의 사랑,2,3668
열정같은소리하고있네,0,1989
열정같은소리하고있네,1,8309
열정같은소리하고있네,2,404269
열정같은소리하고있네,3,159087
열정같은소리하고있네,4,78847
열정같은소리하고있네,5,1497
늙은 자전거,1,520
늙은 자전거,2,1594
늙은 자전거,3,919
늙은 자전거,4,489
늙은 자전거,7,885
늙은 자전거,151,573
늙은 자전거,204,852
늙은 자전거,205,17
늙은 자전거,206,16
늙은 자전거,207,17
눈꺼풀,-99,64
눈꺼풀,-98,64
눈꺼풀,-1,87
눈꺼풀,1,251
눈꺼풀,2,482
눈꺼풀,3,119
눈꺼풀,5,102
눈꺼풀,54,31
짐작보다 따뜻하게,1,250
짐작보다 따뜻하게,2,197
짐작보다 따뜻하게,3,75
짐작보다 따뜻하게,4,182
짐작보다 따뜻하게,5,106
짐작보다 따뜻하게,6,67
짐작보다 따뜻하게,8,35
짐작보다 따뜻하게,21,99
짐작보다 따뜻하게,22,8
짐작보다 따뜻하게,23,4
섬. 사라진 사람들,-15,0
섬. 사라진 사람들,0,619
섬. 사라진 사람들,1,1059
섬. 사라진 사람들,2,18044
섬. 사라진 사람들,3,387
도리화가,0,282
도리화가,1,6478
도리화가,2,258088
도리화가,3,43185
도리화가,4,9083
그들이 죽었다,1,312
그들이 죽었다,2,915
그들이 죽었다,3,476
그들이 죽었다,4,291
그들이 죽었다,5,94
그들이 죽었다,6,50
극적인 하룻밤,0,688
극적인 하룻밤,1,674
극적인 하룻밤,2,236360
극적인 하룻밤,3,80434
극적인 하룻밤,4,2282
극적인 하룻밤,5,412
극적인 하룻밤,6,782
어떤이의 꿈,1,152
어떤이의 꿈,2,1577
어떤이의 꿈,3,258
어떤이의 꿈,4,70
꾸루꾸루와 친구들: 무지개 나무의 비밀,1,0
꾸루꾸루와 친구들: 무지개 나무의 비밀,2,5949
꾸루꾸루와 친구들: 무지개 나무의 비밀,3,511
꾸루꾸루와 친구들: 무지개 나무의 비밀,4,698
꾸루꾸루와 친구들: 무지개 나무의 비밀,5,110
꾸루꾸루와 친구들: 무지개 나무의 비밀,105,89
해에게서 소년에게,1,0
해에게서 소년에게,2,464
해에게서 소년에게,3,103
해에게서 소년에게,4,95
해에게서 소년에게,5,6
위선자들,1,1024
위선자들,2,7134
소시민,1,530
소시민,2,122
소시민,3,98
눈이라도 내렸으면,1,2
눈이라도 내렸으면,2,610
눈이라도 내렸으면,3,76
앨리스: 원더랜드에서 온 소년,0,605
앨리스: 원더랜드에서 온 소년,1,306
앨리스: 원더랜드에서 온 소년,2,7090
앨리스: 원더랜드에서 온 소년,8,1126
서태지밴드 콘서트투어 '콰이어트나이트',1,0
서태지밴드 콘서트투어 '콰이어트나이트',2,4243
아일랜드 - 시간을 훔치는 섬,1,0
아일랜드 - 시간을 훔치는 섬,2,811
흔들리는 물결,1,628
흔들리는 물결,2,623
흔들리는 물결,3,221
혼자,1,455
혼자,2,351
혼자,3,84
혼자,4,20
양치기들,-1,327
양치기들,1,874
양치기들,2,3279
양치기들,3,1068
양치기들,4,203
양치기들,23,560
양치기들,115,161
파란입이 달린 얼굴,-110,33
파란입이 달린 얼굴,1,541
파란입이 달린 얼굴,2,393
파란입이 달린 얼굴,3,255
파란입이 달린 얼굴,4,147
파란입이 달린 얼굴,5,37
파란입이 달린 얼굴,6,28
파란입이 달린 얼굴,7,14
파란입이 달린 얼굴,13,11
인 허 플레이스,1,459
인 허 플레이스,2,742
인 허 플레이스,3,213
인 허 플레이스,4,121
할머니의 먼 집,-42,132
할머니의 먼 집,-17,124
할머니의 먼 집,1,261
할머니의 먼 집,2,1180
할머니의 먼 집,3,846
할머니의 먼 집,4,394
할머니의 먼 집,5,284
할머니의 먼 집,6,76
할머니의 먼 집,7,246
할머니의 먼 집,8,163
할머니의 먼 집,9,14
할머니의 먼 집,11,15
할머니의 먼 집,119,939
할머니의 먼 집,120,37
할머니의 먼 집,121,25
할머니의 먼 집,122,27
할머니의 먼 집,123,28
사돈의 팔촌,1,205
사돈의 팔촌,2,488
사돈의 팔촌,3,280
사돈의 팔촌,4,46
사돈의 팔촌,5,28
사돈의 팔촌,7,101
초인,-1,150
초인,1,811
초인,2,1513
초인,3,1364
초인,4,1050
초인,5,415
초인,6,581
초인,7,261
초인,8,376
스틸 플라워,-7,127
스틸 플라워,1,391
스틸 플라워,2,1007
스틸 플라워,3,431
스틸 플라워,4,333
스틸 플라워,5,70
스틸 플라워,6,23
다른 길이 있다,-58,60
다른 길이 있다,1,815
다른 길이 있다,2,1143
다른 길이 있다,3,513
다른 길이 있다,4,123
다른 길이 있다,5,134
다른 길이 있다,6,25
다른 길이 있다,7,108
타투,1,517
타투,2,11078
타투,3,239
불안한 외출,0,81
불안한 외출,1,320
불안한 외출,2,691
불안한 외출,3,555
불안한 외출,4,189
설행_눈길을 걷다,-12,64
설행_눈길을 걷다,0,75
설행_눈길을 걷다,1,928
설행_눈길을 걷다,2,3209
설행_눈길을 걷다,3,1202
설행_눈길을 걷다,4,170
설행_눈길을 걷다,5,170
설행_눈길을 걷다,6,71
대호,0,6079
대호,1,12985
대호,2,851687
대호,3,630845
대호,4,229783
대호,5,25363
대호,6,4527
대호,7,418
대호,8,286
뽀로로 극장판 컴퓨터 왕국 대모험,0,0
뽀로로 극장판 컴퓨터 왕국 대모험,1,2167
뽀로로 극장판 컴퓨터 왕국 대모험,2,183663
뽀로로 극장판 컴퓨터 왕국 대모험,3,112086
뽀로로 극장판 컴퓨터 왕국 대모험,4,84350
뽀로로 극장판 컴퓨터 왕국 대모험,5,48626
뽀로로 극장판 컴퓨터 왕국 대모험,6,8080
뽀로로 극장판 컴퓨터 왕국 대모험,7,3265
뽀로로 극장판 컴퓨터 왕국 대모험,8,1086
뽀로로 극장판 컴퓨터 왕국 대모험,10,684
뽀로로 극장판 컴퓨터 왕국 대모험,11,262
뽀로로 극장판 컴퓨터 왕국 대모험,12,168
뽀로로 극장판 컴퓨터 왕국 대모험,14,67
뽀로로 극장판 컴퓨터 왕국 대모험,15,57
뽀로로 극장판 컴퓨터 왕국 대모험,16,39
뽀로로 극장판 컴퓨터 왕국 대모험,17,31
뽀로로 극장판 컴퓨터 왕국 대모험,18,62
뽀로로 극장판 컴퓨터 왕국 대모험,19,112
뽀로로 극장판 컴퓨터 왕국 대모험,20,34
뽀로로 극장판 컴퓨터 왕국 대모험,21,61
뽀로로 극장판 컴퓨터 왕국 대모험,40,625
뽀로로 극장판 컴퓨터 왕국 대모험,45,40
뽀로로 극장판 컴퓨터 왕국 대모험,47,12
뽀로로 극장판 컴퓨터 왕국 대모험,53,71
뽀로로 극장판 컴퓨터 왕국 대모험,72,91
뽀로로 극장판 컴퓨터 왕국 대모험,102,55
뽀로로 극장판 컴퓨터 왕국 대모험,103,138
파일 : 4022일의 사육,0,0
파일 : 4022일의 사육,1,268
파일 : 4022일의 사육,2,525
파일 : 4022일의 사육,3,381
히말라야,0,5059
히말라야,1,21717
히말라야,2,1869995
히말라야,3,2695620
히말라야,4,1969084
히말라야,5,636468
히말라야,6,328446
히말라야,7,151451
히말라야,8,55533
히말라야,9,18678
히말라야,10,7013
히말라야,13,218
히말라야,19,353
히말라야,25,74
레나,1,1921
레나,2,1291
레나,3,105
레나,4,48
레나,5,53
레나,6,42
레나,8,58
조선마술사,1,4472
조선마술사,2,550530
조선마술사,3,65358
조선마술사,4,7634
조선마술사,5,514
조선마술사,6,68
잡아야 산다,1,1957
잡아야 산다,2,51007
잡아야 산다,3,1987
잡아야 산다,4,51
내부자들: 디 오리지널,1,1082
내부자들: 디 오리지널,2,1080206
내부자들: 디 오리지널,3,582724
내부자들: 디 오리지널,4,245480
내부자들: 디 오리지널,5,112496
내부자들: 디 오리지널,6,42522
내부자들: 디 오리지널,7,14593
내부자들: 디 오리지널,8,4806
내부자들: 디 오리지널,9,90
내부자들: 디 오리지널,38,517
내부자들: 디 오리지널,186,390
글로리데이,1,8186
글로리데이,2,129940
글로리데이,3,41515
글로리데이,4,6493
글로리데이,5,2701
글로리데이,6,287
글로리데이,136,307
나를 잊지 말아요,1,7350
나를 잊지 말아요,1,63347
나를 잊지 말아요,2,315024
나를 잊지 말아요,3,37653
나를 잊지 말아요,4,1148
나를 잊지 말아요,5,2408
프랑스 영화처럼,0,343
프랑스 영화처럼,1,888
프랑스 영화처럼,2,2242
프랑스 영화처럼,3,761
프랑스 영화처럼,4,316
프랑스 영화처럼,5,196
프랑스 영화처럼,6,98
프랑스 영화처럼,7,31
오빠생각,0,6147
오빠생각,1,18804
오빠생각,2,671731
오빠생각,3,256236
오빠생각,4,83721
오빠생각,5,30399
오빠생각,6,1230
오빠생각,22,1168
그날의 분위기,0,2903
그날의 분위기,1,4616
그날의 분위기,2,467869
그날의 분위기,3,147853
그날의 분위기,4,27313
그날의 분위기,5,1655
그날의 분위기,7,244
그날의 분위기,12,100
거미의 땅,0,0
거미의 땅,1,630
거미의 땅,2,122
거미의 땅,3,129
거미의 땅,4,69
거미의 땅,5,37
거미의 땅,6,19
"로봇, 소리",-1,559
"로봇, 소리",0,10315
"로봇, 소리",1,25376
"로봇, 소리",2,298810
"로봇, 소리",3,87530
"로봇, 소리",4,49738
"로봇, 소리",5,3749
"로봇, 소리",6,587
"로봇, 소리",41,1
귀향,-5,124
귀향,0,9144
귀향,1,1786
귀향,2,1786186
귀향,3,947751
귀향,4,467544
귀향,5,246107
귀향,6,89384
귀향,7,28103
귀향,8,6331
귀향,9,1878
귀향,10,874
귀향,12,285
귀향,16,945
귀향,19,310
귀향,54,421
귀향,113,9
순정,-5,3021
순정,0,12139
순정,1,9285
순정,2,199385
순정,3,12471
순정,4,2258
순정,5,1336
순정,15,589
순정,94,95
극장판 꼬마버스 타요의 에이스 구출작전,1,2039
극장판 꼬마버스 타요의 에이스 구출작전,2,78227
극장판 꼬마버스 타요의 에이스 구출작전,3,34241
극장판 꼬마버스 타요의 에이스 구출작전,4,12519
극장판 꼬마버스 타요의 에이스 구출작전,5,3007
극장판 꼬마버스 타요의 에이스 구출작전,7,750
극장판 꼬마버스 타요의 에이스 구출작전,11,950
극장판 꼬마버스 타요의 에이스 구출작전,12,1486
극장판 꼬마버스 타요의 에이스 구출작전,13,57
극장판 꼬마버스 타요의 에이스 구출작전,14,20
극장판 꼬마버스 타요의 에이스 구출작전,19,263
극장판 꼬마버스 타요의 에이스 구출작전,25,186
극장판 꼬마버스 타요의 에이스 구출작전,26,33
극장판 꼬마버스 타요의 에이스 구출작전,29,76
극장판 꼬마버스 타요의 에이스 구출작전,30,11
극장판 꼬마버스 타요의 에이스 구출작전,31,57
극장판 꼬마버스 타요의 에이스 구출작전,36,217
극장판 꼬마버스 타요의 에이스 구출작전,41,81
극장판 꼬마버스 타요의 에이스 구출작전,42,52
극장판 꼬마버스 타요의 에이스 구출작전,43,113
극장판 꼬마버스 타요의 에이스 구출작전,44,319
극장판 꼬마버스 타요의 에이스 구출작전,45,43
극장판 꼬마버스 타요의 에이스 구출작전,46,70
극장판 꼬마버스 타요의 에이스 구출작전,48,93
극장판 꼬마버스 타요의 에이스 구출작전,49,90
파리의 한국남자,1,826
파리의 한국남자,2,1281
파리의 한국남자,3,328
파리의 한국남자,4,124
파리의 한국남자,5,70
파리의 한국남자,6,35
파리의 한국남자,7,86
파리의 한국남자,9,119
파리의 한국남자,11,30
파리의 한국남자,13,12
파리의 한국남자,14,16
파리의 한국남자,20,20
파리의 한국남자,26,4
파리의 한국남자,29,14
하프,1,214
하프,2,226
하프,3,47
하프,4,25
검사외전,0,2271
검사외전,1,10737
검사외전,2,5456375
검사외전,3,2921488
검사외전,4,782480
검사외전,5,406447
검사외전,6,99835
검사외전,7,21809
검사외전,8,4237
검사외전,9,706
검사외전,10,403
검사외전,44,679
울보,1,160
울보,2,380
울보,3,145
울보,4,117
울보,5,43
최강전사 미니특공대: 영웅의 탄생,1,2288
최강전사 미니특공대: 영웅의 탄생,2,83175
최강전사 미니특공대: 영웅의 탄생,3,26805
최강전사 미니특공대: 영웅의 탄생,4,2859
최강전사 미니특공대: 영웅의 탄생,5,935
최강전사 미니특공대: 영웅의 탄생,6,238
최강전사 미니특공대: 영웅의 탄생,7,54
최강전사 미니특공대: 영웅의 탄생,8,82
최강전사 미니특공대: 영웅의 탄생,10,43
최강전사 미니특공대: 영웅의 탄생,12,33
최강전사 미니특공대: 영웅의 탄생,42,42
최강전사 미니특공대: 영웅의 탄생,43,190
최강전사 미니특공대: 영웅의 탄생,44,149
최강전사 미니특공대: 영웅의 탄생,46,227
최강전사 미니특공대: 영웅의 탄생,51,50
최강전사 미니특공대: 영웅의 탄생,62,55
최강전사 미니특공대: 영웅의 탄생,63,12
최강전사 미니특공대: 영웅의 탄생,92,69
최강전사 미니특공대: 영웅의 탄생,115,82
최강전사 미니특공대: 영웅의 탄생,116,29
최강전사 미니특공대: 영웅의 탄생,127,21
동주,-1,1208
동주,1,4190
동주,2,319227
동주,3,449550
동주,4,178634
동주,5,100804
동주,6,63558
동주,7,27629
동주,8,12134
동주,9,4534
동주,10,1697
동주,11,2219
동주,12,967
동주,14,711
동주,15,847
동주,20,1267
동주,30,159
동주,36,0
동주,42,1274
동주,46,1789
동주,53,528
동주,55,934
동주,56,67
동주,71,235
동주,74,573
동주,75,188
번개맨,0,1791
번개맨,1,1280
번개맨,2,55820
번개맨,3,6484
번개맨,4,2458
번개맨,5,1118
번개맨,6,55
번개맨,7,109
번개맨,9,77
번개맨,12,77
번개맨,41,45
멜리스,0,268
멜리스,1,731
멜리스,2,8964
멜리스,5,594
좋아해줘,-1,0
좋아해줘,1,11969
좋아해줘,2,562101
좋아해줘,3,228909
좋아해줘,4,37431
좋아해줘,5,5969
좋아해줘,6,1704
무수단,1,1496
무수단,2,14217
무수단,3,157
무수단,4,7
남과 여,0,876
남과 여,1,6764
남과 여,2,171836
남과 여,3,19146
남과 여,4,3758
남과 여,5,1277
독도의 영웅들,1,0
독도의 영웅들,3,1054
독도의 영웅들,27,1351
널 기다리며,1,3662
널 기다리며,2,388825
널 기다리며,3,203384
널 기다리며,4,34578
널 기다리며,5,3650
널 기다리며,6,1069
히야,1,1507
히야,2,18869
일사각오,1,978
일사각오,2,24381
일사각오,3,20447
일사각오,4,10803
일사각오,5,10549
일사각오,6,7778
일사각오,7,3061
일사각오,8,10841
일사각오,9,1184
일사각오,11,1650
일사각오,12,774
일사각오,15,368
일사각오,17,170
일사각오,23,249
일사각오,24,482
대배우,1,4057
대배우,2,144699
대배우,3,19219
대배우,4,634
대배우,5,589
해어화,0,1712
해어화,1,6129
해어화,2,278222
해어화,3,141579
해어화,4,42260
해어화,5,10154
해어화,6,2632
해어화,7,2318
수색역,0,587
수색역,1,203
수색역,2,762
수색역,3,157
커터,1,1137
커터,2,17110
"날, 보러와요",1,4541
"날, 보러와요",2,580834
"날, 보러와요",3,279947
"날, 보러와요",4,163221
"날, 보러와요",5,31276
"날, 보러와요",6,3472
곡성,1,176514
곡성,2,2847578
곡성,3,1938916
곡성,4,915150
곡성,5,646528
곡성,6,209103
곡성,7,94716
곡성,8,33836
곡성,9,12416
곡성,10,3820
곡성,11,960
곡성,12,313
곡성,77,104
위대한 소원,-3,0
위대한 소원,-1,710
위대한 소원,0,6190
위대한 소원,1,18710
위대한 소원,2,224006
위대한 소원,3,50154
위대한 소원,4,6521
위대한 소원,5,1411
시간이탈자,0,1727
시간이탈자,1,10538
시간이탈자,2,612989
시간이탈자,3,377201
시간이탈자,4,155755
시간이탈자,5,41386
시간이탈자,6,2608
시간이탈자,7,116
4등,0,1490
4등,1,1397
4등,2,16454
4등,3,8229
4등,4,3182
4등,5,2138
4등,6,1401
4등,7,1317
4등,8,907
4등,9,686
4등,10,167
4등,11,193
4등,13,215
4등,14,99
4등,18,192
4등,20,96
4등,36,243
4등,185,944
극장판 프랭키와 친구들: 생명의 나무,1,3153
극장판 프랭키와 친구들: 생명의 나무,2,26724
극장판 프랭키와 친구들: 생명의 나무,3,12303
극장판 프랭키와 친구들: 생명의 나무,4,4724
극장판 프랭키와 친구들: 생명의 나무,5,1256
극장판 프랭키와 친구들: 생명의 나무,6,287
극장판 프랭키와 친구들: 생명의 나무,7,303
극장판 프랭키와 친구들: 생명의 나무,8,603
극장판 프랭키와 친구들: 생명의 나무,9,2354
극장판 프랭키와 친구들: 생명의 나무,10,3861
극장판 프랭키와 친구들: 생명의 나무,15,1019
극장판 프랭키와 친구들: 생명의 나무,53,266
엽기적인 그녀 2,-3,644
엽기적인 그녀 2,1,1764
엽기적인 그녀 2,2,67721
엽기적인 그녀 2,3,2291
엽기적인 그녀 2,4,4587
두 개의 연애,1,699
두 개의 연애,2,609
두 개의 연애,3,81
두 개의 연애,4,45
철원기행,1,255
철원기행,2,1869
철원기행,3,873
철원기행,4,387
철원기행,5,106
철원기행,7,101
철원기행,8,40
철원기행,35,83
블랙가스펠2: 소울을 찾는 여정가운데 만난 사람들,1,0
블랙가스펠2: 소울을 찾는 여정가운데 만난 사람들,2,481
두 번째 스물,0,913
두 번째 스물,1,492
두 번째 스물,2,8689
두 번째 스물,3,511
두 번째 스물,4,262
계춘할망,0,11914
계춘할망,1,3201
계춘할망,2,272850
계춘할망,3,130769
계춘할망,4,50745
계춘할망,5,5999
계춘할망,6,1952
계춘할망,17,4829
계춘할망,23,0
계춘할망,78,257
계춘할망,80,234
탐욕의 별,0,0
탐욕의 별,1,210
탐욕의 별,2,295
탐욕의 별,3,120
탐욕의 별,5,56
탐정 홍길동: 사라진 마을,-1,0
탐정 홍길동: 사라진 마을,0,3319
탐정 홍길동: 사라진 마을,1,5761
탐정 홍길동: 사라진 마을,2,899916
탐정 홍길동: 사라진 마을,3,353919
탐정 홍길동: 사라진 마을,4,140828
탐정 홍길동: 사라진 마을,5,24087
탐정 홍길동: 사라진 마을,6,1884
탐정 홍길동: 사라진 마을,34,1103
극장판 안녕 자두야,0,224
극장판 안녕 자두야,1,855
극장판 안녕 자두야,2,217544
극장판 안녕 자두야,3,46525
극장판 안녕 자두야,4,10859
극장판 안녕 자두야,5,3088
극장판 안녕 자두야,6,796
극장판 안녕 자두야,15,102
극장판 안녕 자두야,26,147
극장판 안녕 자두야,27,59
극장판 안녕 자두야,28,99
극장판 안녕 자두야,30,38
극장판 안녕 자두야,31,44
극장판 안녕 자두야,48,50
극장판 안녕 자두야,49,12
극장판 안녕 자두야,77,18
다이노X 탐험대,0,598
다이노X 탐험대,1,340
다이노X 탐험대,2,76030
다이노X 탐험대,3,4629
다이노X 탐험대,4,1235
다이노X 탐험대,26,254
다이노X 탐험대,27,8
다이노X 탐험대,28,8
특별수사: 사형수의 편지,-1,19121
특별수사: 사형수의 편지,0,11197
특별수사: 사형수의 편지,1,2431
특별수사: 사형수의 편지,2,693695
특별수사: 사형수의 편지,3,372840
특별수사: 사형수의 편지,4,128218
특별수사: 사형수의 편지,5,14380
특별수사: 사형수의 편지,40,17
무서운 이야기 3 : 화성에서 온 소녀,1,2389
무서운 이야기 3 : 화성에서 온 소녀,2,88270
무서운 이야기 3 : 화성에서 온 소녀,3,6436
무서운 이야기 3 : 화성에서 온 소녀,5,218
무서운 이야기 3 : 화성에서 온 소녀,6,17
그럼에도 불구하고,1,244
그럼에도 불구하고,2,286
그럼에도 불구하고,3,334
그럼에도 불구하고,4,184
그럼에도 불구하고,5,94
그럼에도 불구하고,8,77
드롭박스,0,0
드롭박스,1,35
드롭박스,2,763
드롭박스,3,524
드롭박스,4,202
드롭박스,5,132
드롭박스,6,90
드롭박스,7,74
드롭박스,9,38
드롭박스,11,46
드롭박스,12,32
드롭박스,63,297
드롭박스,144,47
아가씨,0,0
아가씨,1,10768
아가씨,2,2356513
아가씨,3,921550
아가씨,4,529776
아가씨,5,294665
아가씨,6,126040
아가씨,7,33664
아가씨,8,7852
아가씨,9,2212
아가씨,10,2223
아가씨,11,1613
아가씨,12,580
아가씨,13,256
아가씨,14,106
아가씨,92,712
델타 보이즈,-47,220
델타 보이즈,-25,103
델타 보이즈,0,262
델타 보이즈,1,409
델타 보이즈,2,1656
델타 보이즈,3,721
델타 보이즈,4,547
델타 보이즈,5,240
델타 보이즈,6,79
델타 보이즈,7,30
델타 보이즈,77,69
델타 보이즈,92,26
델타 보이즈,93,21
델타 보이즈,94,21
델타 보이즈,95,19
우리들,1,1268
우리들,2,8934
우리들,3,9058
우리들,4,7051
우리들,5,5106
우리들,6,3218
우리들,7,2751
우리들,8,1969
우리들,9,1295
우리들,10,2620
우리들,11,1423
우리들,12,411
우리들,13,331
우리들,14,303
우리들,15,206
우리들,16,110
우리들,17,170
우리들,18,545
우리들,19,245
우리들,29,916
우리들,31,39
우리들,35,36
우리들,39,411
우리들,48,57
우리들,56,443
우리들,62,42
우리들,63,321
우리들,153,898
굿바이 싱글,-3,0
굿바이 싱글,-2,3668
굿바이 싱글,-1,7815
굿바이 싱글,0,16406
굿바이 싱글,1,3673
굿바이 싱글,2,1119441
굿바이 싱글,3,690768
굿바이 싱글,4,246777
굿바이 싱글,5,19516
굿바이 싱글,74,370
굿바이 싱글,78,127
소녀와 여자,1,210
소녀와 여자,2,345
소녀와 여자,3,158
소녀와 여자,4,135
소녀와 여자,5,79
소녀와 여자,6,36
소녀와 여자,7,18
비밀은 없다,1,3067
비밀은 없다,2,231627
비밀은 없다,3,12328
비밀은 없다,4,2384
비밀은 없다,5,597
비밀은 없다,7,286
비밀은 없다,9,255
비밀은 없다,19,106
비밀은 없다,77,185
우리 연애의 이력,0,487
우리 연애의 이력,1,827
우리 연애의 이력,2,1233
우리 연애의 이력,3,124
우리 연애의 이력,5,142
우리 연애의 이력,6,15
우리 연애의 이력,7,33
우리 연애의 이력,8,15
우리 연애의 이력,9,46
우리 연애의 이력,10,38
우리 연애의 이력,11,36
우리 연애의 이력,12,16
트릭,1,1924
트릭,2,35660
봉이 김선달,0,4739
봉이 김선달,1,7654
봉이 김선달,2,1234804
봉이 김선달,3,652404
봉이 김선달,4,140304
봉이 김선달,5,4405
봉이 김선달,6,3714
봉이 김선달,7,1872
봉이 김선달,10,1263
봉이 김선달,122,210
부산행,1,565286
부산행,2,5671164
부산행,3,2827094
부산행,4,1232110
부산행,5,674723
부산행,6,308925
부산행,7,171996
부산행,8,95780
부산행,9,10794
부산행,10,6737
부산행,11,247
부산행,15,150
부산행,28,473
부산행,30,0
부산행,68,607
부산행,112,784
부산행,144,177
부산행,170,294
부산행,171,193
사냥,1,5535
사냥,2,592993
사냥,3,45839
사냥,4,1400
사냥,5,135
사냥,6,18
빅뱅 메이드,1,3609
빅뱅 메이드,2,30012
빅뱅 메이드,3,16288
슈퍼 프렌즈,-1,577
슈퍼 프렌즈,0,5432
슈퍼 프렌즈,1,2739
슈퍼 프렌즈,2,68296
슈퍼 프렌즈,3,8415
슈퍼 프렌즈,4,3277
극장판 프리즘스톤 올스타 셀렉션,1,1505
극장판 프리즘스톤 올스타 셀렉션,2,6649
카이: 거울 호수의 전설,1,1848
카이: 거울 호수의 전설,2,19866
카이: 거울 호수의 전설,3,2073
카이: 거울 호수의 전설,4,569
카이: 거울 호수의 전설,5,88
카이: 거울 호수의 전설,11,107
카이: 거울 호수의 전설,12,21
카이: 거울 호수의 전설,13,53
카이: 거울 호수의 전설,16,26
카이: 거울 호수의 전설,58,167
카이: 거울 호수의 전설,59,127
인천상륙작전,0,0
인천상륙작전,1,12711
인천상륙작전,2,3571715
인천상륙작전,3,1980984
인천상륙작전,4,917557
인천상륙작전,5,339679
인천상륙작전,6,154311
인천상륙작전,7,66284
인천상륙작전,8,3176
인천상륙작전,9,465
인천상륙작전,11,278
인천상륙작전,14,342
인천상륙작전,17,390
인천상륙작전,21,1645
인천상륙작전,46,332
터널,0,1946
터널,1,18908
터널,2,3512572
터널,3,1844419
터널,4,1051867
터널,5,582956
터널,6,75945
터널,7,30333
터널,9,1526
터널,10,13
터널,70,176
덕혜옹주,0,151
덕혜옹주,1,14792
덕혜옹주,2,2194065
덕혜옹주,3,1896678
덕혜옹주,4,864322
덕혜옹주,5,397223
덕혜옹주,6,185990
