영화명,F등급,평균좌석판매율,전체배정좌석수
워킹걸,1,28.759999999999998,808885.0
설해,0,15.222222222222225,30247.0
허삼관,0,28.445999999999998,3726538.0
오늘의 연애,0,24.178000000000008,6708180.0
고양이 장례식,0,21.158333333333328,61897.0
미라클 여행기,1,12.6952380952381,57618.0
강남 1970,0,42.337662337662344,8366481.0
생각보다 맑은,2,11.23725490196078,61111.0
내 심장을 쏴라,1,37.17142857142857,2722030.0
어우동: 주인 없는 꽃,0,17.441176470588214,27535.0
망원동 인공위성,0,14.738297872340432,55793.0
쎄시봉,0,35.77536231884058,7818486.0
최강전사 미니특공대 : 새로운 악당의 습격,0,15.875362318840578,504248.0
조선명탐정 : 사라진 놉의 딸,1,25.155999999999995,13510641.0
꿈보다 해몽,0,7.773239436619725,96887.0
조류인간,0,8.25952380952381,60757.0
기화,0,21.711764705882356,5402.0
순수의 시대,1,15.518604651162793,3842787.0
개: dog eat dog,0,12.956521739130427,14742.0
헬머니,1,15.346551724137926,2998092.0
소셜포비아,0,22.552205882352947,1945482.0
살인의뢰,0,25.95510204081634,5135727.0
그라운드의 이방인,0,14.26545454545454,99960.0
태양을 쏴라,0,12.893333333333336,307739.0
스물,0,27.541975308641966,15052130.0
세계일주,0,22.136666666666667,94425.0
파울볼,1,14.89795918367347,488541.0
화장,1,20.063768115942025,1636957.0
후쿠시마의 미래,1,7.580000000000007,26638.0
장수상회,0,34.46666666666666,7420481.0
검은손,1,7.742105263157894,387984.0
반짝이는 박수 소리,2,16.877500000000005,85282.0
약장수,0,17.813793103448273,482347.0
위험한 상견례 2,1,26.016666666666662,2065178.0
차이나타운,1,16.15540540540541,5525993.0
다이노 타임,1,16.771812080536904,762316.0
플랑크 상수,0,14.754545454545443,6647.0
잡식가족의 딜레마,3,17.234065934065924,70086.0
연애의 맛,0,26.084615384615383,1463138.0
명량: 회오리 바다를 향하여,0,19.668749999999996,177354.0
명령불복종 교사,1,17.628205128205128,22210.0
악의 연대기,0,29.559615384615384,8885269.0
간신,0,23.98571428571429,5146235.0
산다,0,12.917647058823535,83017.0
막걸스,1,9.404347826086957,36663.0
무뢰한,0,16.947058823529414,3117904.0
코인라커,1,13.052631578947368,21564.0
은밀한 유혹,1,16.975675675675678,1996840.0
마이 페어 웨딩,2,15.176470588235292,115621.0
한여름의 판타지아,1,12.022651933701656,318547.0
경성학교: 사라진 소녀들,1,31.765714285714285,2198583.0
극비수사,0,28.052941176470586,9250398.0
성난 화가,0,21.85625,9123.0
연평해전,0,37.8578431372549,17497072.0
소수의견,0,25.396610169491524,1917551.0
나의 절친 악당들,0,16.59642857142857,1135198.0
마돈나,3,12.26229508196721,160893.0
파스카,3,7.034999999999999,22883.0
레드 툼,0,7.657142857142858,35303.0
손님,0,29.945714285714285,2998477.0
쓰리 썸머 나잇,0,18.650000000000002,604161.0
폴라로이드,1,70.51538461538462,197013.0
밀양 아리랑,1,12.939285714285715,52118.0
악인은 살아 있다,0,23.275,14737.0
암살,1,30.082467532467533,25466132.0
고녀석 맛나겠다2 : 함께라서 행복해,0,19.987401574803155,138603.0
살인재능,0,8.686206896551724,27275.0
무서운 집,1,11.666666666666664,3736.0
베테랑,0,29.704697986577163,31567767.0
이바라키의 여름,1,8.845454545454546,9465.0
"협녀, 칼의 기억",0,25.536585365853654,2037147.0
위로공단,1,17.249275362318837,138482.0
미쓰 와이프,1,35.708450704225356,3229036.0
에스엠타운 더 스테이지,0,38.452380952380956,80096.0
성실한 나라의 앨리스,1,13.998947368421046,353492.0
순교,1,29.995070422535218,58471.0
뷰티 인사이드,2,23.563636363636373,7198080.0
퇴마: 무녀굴,0,31.85333333333333,703584.0
치외법권,0,24.153125,1924020.0
오피스,2,31.86200000000001,2267022.0
기적의 피아노,1,19.553191489361698,127971.0
돼지 같은 여자,1,14.561290322580646,146675.0
사랑이 이긴다,1,45.00370370370371,81713.0
영도,0,11.187179487179488,51074.0
함정,0,28.248148148148154,1279979.0
제 7기사단,0,19.13125,141179.0
슈퍼레이서 엔지,0,12.480487804878052,90929.0
사도,0,28.823008849557507,19953226.0
덫: 치명적인 유혹,0,12.599999999999996,2373.0
션샤인 러브,0,8.425,37633.0
서부전선,0,26.528571428571436,2260538.0
지금은맞고그때는틀리다,0,11.396428571428572,558441.0
탐정 : 더 비기닝,0,33.58026315789473,7395069.0
춘희막이,1,23.026760563380275,534096.0
성난 변호사,1,28.124528301886798,4775845.0
"안녕, 전우치! 도술로봇대결전",1,13.613559322033893,176109.0
비밀,1,16.375,626398.0
돌연변이,0,18.092307692307692,824297.0
특종: 량첸살인기,2,26.534042553191497,4807497.0
필름시대사랑,0,4.122222222222221,52648.0
더 폰,0,25.385714285714283,8174103.0
어떤살인,1,23.384210526315787,329725.0
미안해 사랑해 고마워,0,33.46774193548387,877012.0
그놈이다,0,22.14772727272728,5849979.0
울보 권투부,0,15.207843137254903,39537.0
거짓말,3,9.779411764705882,75960.0
들꽃,1,9.34666666666667,30433.0
검은 사제들,0,28.150000000000006,19755682.0
늙은 자전거,0,11.053409090909083,58832.0
세상끝의 사랑,1,21.2,124398.0
내부자들,0,28.559047619047615,24878459.0
꾸루꾸루와 친구들: 무지개 나무의 비밀,1,16.162162162162154,79940.0
해에게서 소년에게,1,2.684374999999999,33593.0
도리화가,0,26.524999999999995,2733114.0
열정같은소리하고있네,1,26.75,4121209.0
아일랜드 - 시간을 훔치는 섬,0,2.607142857142857,42287.0
어떤이의 꿈,0,9.967647058823534,37010.0
서태지밴드 콘서트투어 '콰이어트나이트',0,28.36428571428572,22482.0
위선자들,1,34.30952380952382,39758.0
나쁜 나라,2,13.449137931034489,170706.0
극적인 하룻밤,0,22.630952380952387,2299559.0
앨리스: 원더랜드에서 온 소년,2,27.139999999999997,80749.0
그들이 죽었다,0,11.471111111111112,48467.0
타이밍,1,10.448571428571432,340289.0
불안한 외출,0,17.281818181818174,22935.0
타투,0,15.966666666666669,143308.0
파일 : 4022일의 사육,0,9.154545454545453,4998.0
뽀로로 극장판 컴퓨터 왕국 대모험,1,19.80459770114943,1486825.0
히말라야,0,29.348275862068963,22905936.0
대호,0,27.331746031746036,5675019.0
"나의 아들, 나의 어머니",1,14.558064516129033,66261.0
인 허 플레이스,1,8.478260869565219,32727.0
조선마술사,0,22.560526315789474,2420055.0
내부자들: 디 오리지널,0,19.65147058823529,6672640.0
나를 잊지 말아요,2,20.424999999999994,2592833.0
잡아야 산다,0,14.648275862068967,363444.0
그날의 분위기,2,23.635714285714286,3854095.0
거미의 땅,3,9.611627906976745,17484.0
프랑스 영화처럼,1,9.54807692307692,84136.0
극장판 꼬마버스 타요의 에이스 구출작전,1,21.82597402597401,707815.0
하프,2,6.633333333333331,10374.0
오빠생각,0,28.62666666666667,7084541.0
"로봇, 소리",1,30.822,3560360.0
파리의 한국남자,0,5.690099009900986,57315.0
울보,0,5.371052631578951,26479.0
검사외전,0,25.244578313253015,24309850.0
최강전사 미니특공대: 영웅의 탄생,1,14.857258064516126,529010.0
번개맨,0,19.05119047619047,669623.0
멜리스,1,19.70416666666667,206294.0
좋아해줘,3,24.432499999999997,3474394.0
동주,0,30.82574850299401,4939566.0
독도의 영웅들,0,22.193749999999998,2686.0
순정,1,37.864912280701745,1466695.0
귀향,1,27.995495495495497,15054090.0
남과 여,2,20.292500000000004,1178801.0
소꿉놀이,3,13.684905660377362,40912.0
섬. 사라진 사람들,1,22.708695652173915,323378.0
무수단,1,9.750000000000004,314212.0
설행_눈길을 걷다,3,10.958000000000002,149511.0
널 기다리며,1,21.518918918918914,4950342.0
히야,2,17.81875,212093.0
일사각오,1,32.5809523809524,382665.0
글로리데이,0,23.382812499999996,1617448.0
대배우,0,25.725714285714282,2451542.0
커터,2,18.291666666666668,449875.0
수색역,0,11.403703703703703,43360.0
"날, 보러와요",1,21.45576923076923,6812159.0
스틸 플라워,1,11.615094339622642,59362.0
시간이탈자,1,22.017391304347836,9262719.0
4등,0,29.02786885245902,626793.0
해어화,1,31.101886792452827,4647507.0
극장판 프랭키와 친구들: 생명의 나무,0,27.42676056338027,367559.0
업사이드 다운,1,14.425925925925922,84937.0
블랙가스펠2: 소울을 찾는 여정가운데 만난 사람들,1,45.8235294117647,9691.0
두 개의 연애,0,9.326923076923075,23468.0
철원기행,0,12.063636363636363,62023.0
위대한 소원,0,29.27608695652174,3561951.0
탐욕의 별,0,6.981481481481482,18900.0
탐정 홍길동: 사라진 마을,0,34.15892857142857,5080146.0
다이노X 탐험대,1,19.697619047619053,446380.0
극장판 안녕 자두야,2,14.665306122448964,1028665.0
초인,3,19.709090909090904,85316.0
곡성,0,27.325510204081635,20034381.0
엽기적인 그녀 2,1,29.766666666666673,726344.0
눈이라도 내렸으면,0,8.210714285714287,9238.0
사돈의 팔촌,0,7.541304347826087,21825.0
계춘할망,2,44.211940298507464,2315951.0
짐작보다 따뜻하게,1,6.046875000000002,29435.0
드롭박스,0,10.615476190476187,43927.0
달에 부는 바람,1,8.177777777777779,25782.0
레나,1,15.403389830508482,45839.0
아가씨,2,26.81327433628319,13749184.0
양치기들,0,21.71492537313433,114306.0
우리들,3,23.64471153846154,359332.0
소녀와 여자,3,6.1208333333333345,47747.0
특별수사: 사형수의 편지,0,36.845762711864396,5598449.0
비밀은 없다,3,24.123076923076933,1912925.0
삼례,2,14.954761904761906,45479.0
굿바이 싱글,2,32.38030303030303,8494232.0
우리 연애의 이력,3,5.879487179487181,64081.0
사냥,0,13.5,4571964.0
경계,0,8.616666666666669,36794.0
홀리워킹데이,3,8.490000000000002,46874.0
빅뱅 메이드,1,35.95666666666666,277159.0
봉이 김선달,0,38.14999999999998,7847759.0
극장판 프리즘스톤 올스타 셀렉션,1,13.482758620689657,96443.0
트릭,0,19.104761904761908,836576.0
부산행,0,24.05704225352113,22687251.0
인천상륙작전,0,37.62549019607843,14221283.0
덕혜옹주,1,33.45346534653466,14918712.0
국가대표 2,1,35.90307692307691,2579980.0
터널,0,21.89157894736842,19844007.0
슈퍼 프렌즈,0,44.099999999999994,261491.0
서울역,0,12.668627450980393,932894.0
카이: 거울 호수의 전설,1,13.934117647058821,171138.0
파워배틀 와치카 미니카 배틀리그: 불꽃의 질주,0,9.962244897959176,225432.0
"시발, 놈: 인류의 시작",0,6.910714285714286,22018.0
그림자들의 섬,1,12.638636363636364,56974.0
올레,0,20.096153846153832,606050.0
범죄의 여왕,1,21.235087719298246,448125.0
최악의 하루,1,17.08514851485149,584502.0
그랜드파더,0,6.2299999999999995,497544.0
브링 홈: 아버지의 땅,0,27.602272727272727,80272.0
밀정,0,26.39186046511628,23073730.0
"고산자, 대동여지도",1,37.634545454545446,5293124.0
달빛궁궐,3,15.70471698113207,767818.0
왕초와 용가리,0,8.271875000000001,25418.0
나는 증인이다,1,10.784745762711871,11418.0
한강블루스,0,22.977272727272723,28683.0
나홀로 휴가,0,9.759615384615381,274835.0
대결,0,32.00454545454546,754859.0
아수라,0,26.38225806451613,10996064.0
할머니의 먼 집,3,6.984297520661157,82443.0
물숨,3,24.062500000000018,99453.0
죽여주는 여자,1,29.671739130434805,966000.0
그물,0,18.975,720757.0
럭키,0,30.974683544303797,23114625.0
우주의 크리스마스,1,8.969696969696969,68682.0
춘몽,1,8.196703296703296,291968.0
자백,0,41.89349593495934,630258.0
걷기왕,1,32.41269841269842,1416215.0
폭력의 법칙: 나쁜 피 두 번째 이야기,1,12.328571428571431,5145.0
혼숨,0,17.545945945945945,1788619.0
"무현, 두 도시 이야기",0,16.217307692307692,918032.0
흔들리는 물결,0,21.959374999999998,23565.0
두 번째 스물,0,15.52682926829268,232580.0
시간의 종말,0,11.410714285714283,63499.0
스플릿,0,28.377551020408163,4359135.0
시소,2,26.251388888888886,99635.0
"제자도 - 제자,옥한흠2",0,16.471999999999998,172711.0
오 마이 파파,1,15.74745762711864,87153.0
당신자신과 당신의 것,0,11.51060606060606,319011.0
가려진 시간,0,27.82203389830508,4516462.0
야근 대신 뜨개질,3,10.832142857142856,24371.0
연애담,3,25.371,157930.0
순종,1,34.437755102040825,252893.0
워킹 스트리트,0,3.577777777777778,20405.0
형,1,25.646835443037986,12525089.0
딜쿠샤,0,12.139534883720927,29206.0
혼자,0,12.200000000000003,17618.0
나의 살던 고향은,0,19.450000000000006,124419.0
작은 형,0,9.676315789473685,43597.0
미씽: 사라진 여자,3,27.423255813953485,5457165.0
두 남자,0,19.450000000000003,886752.0
판도라,0,42.0175,15663814.0
커튼콜,0,12.434210526315791,109788.0
비치온더비치,3,11.106818181818182,32393.0
우리 손자 베스트,0,10.580645161290324,28428.0
"당신, 거기 있어줄래요",2,29.839999999999996,5752926.0
목숨 건 연애,1,25.095238095238095,782169.0
부릉! 부릉! 브루미즈: 스피더의 모험 일기,1,20.529687499999998,166030.0
마스터,0,29.47671232876712,21207178.0
위켄즈,0,14.359340659340662,55596.0
사랑하기 때문에,0,31.276470588235306,1899188.0
여교사,1,24.222807017543854,758126.0
소시민,0,11.789655172413791,10576.0
문영,3,14.231182795698924,69381.0
7년-그들이 없는 언론,0,13.006756756756754,198152.0
공조,0,28.104166666666664,22995059.0
더 킹,0,31.966666666666672,17465244.0
터닝메카드W: 블랙미러의 부활,1,10.948749999999992,1777237.0
다른 길이 있다,0,15.809803921568623,55064.0
뚜르: 내 생애 최고의 49일,2,33.380263157894724,345134.0
장기왕 : 가락시장 레볼루션,0,8.728947368421052,30641.0
조작된 도시,0,35.6109375,9934541.0
"그래, 가족",2,23.99230769230769,766481.0
재심,0,27.63285714285714,10857330.0
루시드 드림,0,33.20312499999999,1137625.0
싱글라이더,2,22.462857142857143,2397489.0
레이디버그,1,8.7375,280561.0
눈발,0,13.667346938775504,100268.0
해빙,2,12.98983050847458,7315102.0
눈길,3,32.104347826086965,1185784.0
커피 메이트,1,11.758333333333333,183266.0
아티스트: 다시 태어나다,1,15.495555555555544,235441.0
비정규직 특수요원,1,22.833333333333332,1371949.0
왕을 참하라,1,31.922727272727272,43507.0
만담강호,0,13.071428571428568,26121.0
프리즌,0,24.784615384615392,13686052.0
보통사람,0,23.258333333333336,2548965.0
밤의 해변에서 혼자,1,9.744444444444447,491311.0
원라인,0,25.900000000000002,2677785.0
시간위의 집,1,17.00588235294118,1401374.0
어느날,1,22.89428571428571,2373439.0
"다시, 벚꽃",1,10.12962962962963,184832.0
아빠는 딸,1,32.13958333333333,4273287.0
마리안느와 마가렛,2,25.017647058823535,206729.0
지렁이,0,20.483333333333334,26681.0
더 플랜,0,13.553658536585367,337742.0
임금님의 사건수첩,0,33.17090909090909,7674872.0
특별시민,0,21.50566037735848,7451442.0
"서서평, 천천히 평온하게",3,42.9110294117647,476091.0
극장판 또봇: 로봇군단의 습격,1,14.278873239436624,479568.0
보안관,0,31.48513513513513,9485000.0
슈퍼 빼꼼: 스파이 대작전,0,25.898901098901085,362858.0
석조저택 살인사건,1,34.022727272727266,2178493.0
"컴, 투게더",1,14.113636363636353,58549.0
길,1,11.002777777777776,118152.0
불한당: 나쁜 놈들의 세상,0,38.30103092783508,6027238.0
마차 타고 고래고래,0,20.267741935483862,127048.0
고려 아리랑: 천산의 디바,3,8.055045871559633,80063.0
노무현입니다,0,26.366037735849066,7562796.0
쇠파리,0,8.595918367346936,56102.0
꿈의 제인,1,16.459482758620695,239791.0
대립군,0,27.367241379310343,4201250.0
파워배틀 와치카: 와치가면의 역습,0,15.184523809523807,236966.0
바람의 춤꾼,1,6.152112676056337,54494.0
